THUName,THUNumber,ClimateRegion,ReclassVegetation,VegetationType1,VegetationType2,MinAge,MaxAge,MinSlope,MaxSlope,MinAspect,MaxAspect,MinSand,MaxSand,MinSilt,MaxSilt,MinLatitude,MaxLatitude,MinElevation,MaxElevation,NumberLitterNodes,LitterThickness,LitterDryWeight,FractionGroundCoveredLitter,MaxSnowThickness,SnowNodes,InitSnowTemperature,ShawSoilType1,GiplSoilType1,MaxDepth1,Nodes1,InitTemperature1,InitWaterContent1,ShawSoilType2,GiplSoilType2,MaxDepth2,Nodes2,InitTemperature2,InitWaterContent2,ShawSoilType3,GiplSoilType3,MaxDepth3,Nodes3,InitTemperature3,InitWaterContent3,ShawSoilType4,GiplSoilType4,MaxDepth4,Nodes4,InitTemperature4,InitWaterContent4,ShawSoilType5,GiplSoilType5,MaxDepth5,Nodes5,InitTemperature5,InitWaterContent5,ShawSoilType6,GiplSoilType6,MaxDepth6,Nodes6,InitTemperature6,InitWaterContent6,BottomGiplSoilType,BottomGiplMaxDepth,BottomGiplNodes,BottomGiplInitTemperature,BottomGiplWaterContent
,,,,,,,,,,,,,,,,,,,,NR,ZRTHIK,RLOAD,COVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,yr,yr,degrees,degrees,degrees,degrees,percent,percent,percent,percent,degrees,degrees,m,m,,cm,kg/ha,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YoungHardwood_1_all_all,1,1,BirchAspen,YoungHardwood,,11,50,0,90,0,360,0,100,0,100,55,75,0,704,1,5,6000,0.9,0.6,60,3,litterSoil,LitterSoil,0.05,2,4,0.48,SiltLoam1,mineralSoil,0.1,2,4,0.47,SiltLoam2,mineralSoil,0.4,6,2,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,6,5,0.5,0.26,,,,,,,mineralSoil,75,50,-2,0.08
OldHardwood_1_all_all,2,1,BirchAspen,OldHardwood,,51,350,0,90,0,360,0,100,0,100,55,75,0,704,1,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,-6,0.48,SiltLoam2,mineralSoil,0.4,6,-2,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,6,5,0.5,0.26,,,,,,,,,,,,,mineralSoil,75,50,-2,0.08
BurnedHardwood_1_all_all,3,1,BirchAspen,BurnedHardwood,,0,10,0,90,0,360,0,100,0,100,55,75,0,704,1,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,-6,0.48,SiltLoam2,mineralSoil,0.4,6,-2,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,6,5,0.5,0.26,,,,,,,,,,,,,mineralSoil,75,50,-2,0.08
YoungConifer_1_all_all,4,1,BlackSpruce,YoungConifer,,11,50,0,90,0,360,0,100,0,100,55,75,0,704,9,40,48000,1,0.6,60,3,liveMoss,liveMoss,0.15,3,2,0.8,deadMoss,deadMoss,0.4,5,0,0.5,SiltLoam2,mineralSoil,0.5,2,-1,0.4,SiltLoam2,mineralSoil,1.5,10,2,0.4,SiltLoam2,mineralSoil,6,3,2,0.4,,,,,,,mineralSoil,75,50,-2,0.08
OldConifer_1_all_all,5,1,BlackSpruce,OldConifer,,51,350,0,90,0,360,0,100,0,100,55,75,0,704,9,40,48000,1,0.6,60,3,liveMoss,liveMoss,0.15,3,2,0.8,deadMoss,deadMoss,0.4,5,0,0.5,SiltLoam2,mineralSoil,0.5,2,-1,0.4,SiltLoam2,mineralSoil,1.5,10,2,0.4,SiltLoam2,mineralSoil,6,3,2,0.4,,,,,,,mineralSoil,75,50,-2,0.08
BurnedConifer_1_all_all,6,1,BlackSpruce,BurnedConifer,,0,10,0,90,0,360,0,100,0,100,55,75,0,704,1,5,6000,0.9,0.6,60,3,liveMoss,liveMoss,0.15,3,2,0.8,deadMoss,deadMoss,0.4,5,0,0.5,SiltLoam2,mineralSoil,0.5,2,-1,0.4,SiltLoam2,mineralSoil,1.5,10,2,0.4,SiltLoam2,mineralSoil,6,3,2,0.4,,,,,,,mineralSoil,75,50,-2,0.08
YoungHardwood_2_all_all,7,2,BirchAspen,YoungHardwood,,11,50,0,90,0,360,0,100,0,100,55,75,0,704,1,5,6000,0.9,0.6,60,3,litterSoil,LitterSoil,0.05,2,4,0.48,SiltLoam1,mineralSoil,0.1,2,4,0.47,SiltLoam2,mineralSoil,0.4,6,2,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,6,5,0.5,0.26,,,,,,,mineralSoil,75,50,-2,0.08
OldHardwood_2_all_all,8,2,BirchAspen,OldHardwood,,51,350,0,90,0,360,0,100,0,100,55,75,0,704,1,5,6000,0.9,0.6,60,3,SiltLoam1,mineralSoil,0.1,2,-6,0.48,SiltLoam2,mineralSoil,0.4,6,-2,0.46,SiltLoam3,mineralSoil,1,6,0.5,0.26,SiltLoam3,mineralSoil,6,5,0.5,0.26,,,,,,,,,,,,,mineralSoil,75,50,-2,0.08
